Name	Address	UUID
[TV] Spanky	Public 64:1C:B0:AE:6C:B3	E1DF27E2-DA99-A6D7-78F8-5CAEFB839F03
[TV] Samsung 7 Series (75)	Public B8:BC:5B:4C:ED:ED	F15DB295-0B42-878B-EBF4-FFBC7070141F
[TV] Samsung 7 Series (65)	Public 68:27:37:4E:42:C1	60F970BE-8673-10A1-7935-10FCC71ED448
[TV] Samsung 6 Series (55)	Public 9C:8C:6E:16:F9:4D	9F2E628D-2627-0479-563C-AF50AEA6CAEC
This Is’s AirPods Pro	Public 38:EC:0D:E2:49:CF	7A272D6E-9BA9-057F-8105-74AA4CF9A137
Reverie	Public 00:07:80:03:B3:09	1890D260-CE82-89F7-D4D8-10657FF200B9
PR BT FD84	Public 00:1F:FF:73:EF:D1	E461ED5D-0435-5DED-D514-B1C3B335CD7E
LG webOS TV	Public A0:6F:AA:3D:6E:D7	4B401DC3-45B3-0257-10E9-7716F6BD7A3D
L307LXK	Public 78:9C:85:07:09:DC	8E5DA2D4-CB5A-300D-C5AA-91EAB2727283
Josh’s AirPods	Public 7C:04:D0:89:89:A0	D50B8EA2-6182-D405-28E7-1297EA093767
ENVY Photo 6200 series	Public 82:CE:62:71:B6:A1	A8871803-71D6-32A7-86B6-C1E858B8B40C
Aug	Public 78:9C:85:00:51:F8	2639269A-0D9D-634B-4957-CB879B893C44
ALAM (23:E2:6C)	Public B8:3A:9D:23:E2:6D	DF0A357E-3D0D-6B33-802A-6D0089FD5767
	Random FC:A9:DC:81:CC:6E	141B5DA0-0619-418E-FB77-6C74F59DF7DB
	Random CA:3A:88:36:38:4A	2E8C6B83-B639-CF09-8C42-101144D347C5
	Random E7:FC:DD:92:F4:B5	4A7AFDB1-D34C-CA86-739A-474FA0066DEB
	Random EA:1E:66:65:28:41	B0EEF2BB-393C-10E1-0E4C-42273FE1C2D8
	Random C0:B9:B5:A5:AA:7D	37117945-8C75-28D9-3CB0-43AEC440800E
	Public 28:39:5E:7F:8B:C1	CF7BB7A5-5E78-AD6D-9658-0D4394450DE3
	Random E3:21:BC:AE:58:CF	B661941A-41D4-8452-12C3-8C4DF3FE038F
	Random D5:68:1A:28:D6:D8	C32F50C0-0747-0843-FF38-BBE2AA30127E
	Public 38:EC:0D:E0:61:D0	179517A6-9841-E2FE-9F51-330A7A912F2D
	Public 28:F0:76:3E:79:09	5675610D-C8F2-7040-896D-38DBF2184FDA
	Public F8:04:2E:88:1F:C5	6095F605-8FFE-FC4F-80EB-068331376816
	Public 78:D2:94:99:7C:55	2011842A-0669-5593-2C6E-79BBF1DCE4D5
	Public 68:64:4B:3E:C9:43	2C9328C2-AAC6-8A02-8B8F-0AC7FF528D99
	Public 18:EE:69:2C:B4:9D	6F5A1D5C-EDE2-3EDF-DFD9-8CA0F61BFD5C
	Public B0:34:95:4C:24:CE	85083A24-BA9E-7E86-BD35-1FDD0198AE5B
	Public 68:64:4B:0F:DB:D2	8EFFEB6B-4919-F8E2-DAB4-93912B2212E8
	Public 78:D2:94:99:7C:19	A94ABF84-C0CA-1884-98D2-FFA144DE3BE7
	Public 04:15:52:E6:46:62	F6A5E1EB-2333-1884-4A60-583264488C0D
	Public C8:69:CD:EC:26:9B	FAC2D211-7ED0-CF5E-8ADE-699A8BDBFC83
	Public D8:E0:E1:F9:C4:A0	5908E3D2-E289-42CB-ACC8-AA0C5756D7EB
	Public D0:03:4B:E9:82:9A	17DBDF2C-1B76-8BE1-E12E-CCD9237D9426
	Random C4:D3:3A:9D:86:D7	1932168E-E4B3-114B-70A8-4B6A1B4DC8C7
	Public 0C:B2:B7:3E:D0:01	2E7811E8-DC33-3D0A-C79F-78D87C48C1F1
	Random F0:1C:8F:AE:7F:F7	5301CACB-5EBA-9FB3-8BF9-57433E2E1BC2
	Public E4:3E:D7:AC:57:88	9F965606-0888-97E1-0BD2-6499336E3F3C
	Public 88:E9:FE:6A:61:0C	15627251-884D-E686-A356-85AC9D376A5E
	Random D8:AA:EA:85:95:55	88781DED-7658-AE5E-4501-B344CD937471
	Random F6:DB:49:31:06:CA	28DE987B-382C-51D5-8D4D-578DA2E68BD1
	Random CD:9E:6C:D2:91:2C	57B0C72B-792C-E080-535E-CF03AA78F0B9
	Random D7:69:19:A3:96:48	E58DA595-874E-A258-2F9B-22177EE0ECEE
	Random DB:A4:C4:F1:C9:DC	1241B834-E4E3-550A-F06B-28AF0D96AE30
	Random F7:7F:ED:26:58:59	1474817D-513C-91CC-DF73-0EF9823F5057
	Random E0:41:84:F1:22:70	1B6BD2DF-0371-B609-28E2-72AD890A4013
	Random EB:DB:04:1F:E1:4A	7EFA3856-5A93-F8D2-C596-FB34B7BBCCD3
	Random DA:73:7C:B1:1D:88	90918D42-5C23-F01B-3013-5EBAC115763E
	Public 14:99:E2:06:58:42	A1E7311C-1E3E-E70A-17CA-F16DDF52A5F3
	Public B0:34:95:58:60:6F	D652A533-9842-CC59-3858-517DDC6BB8E0
	Random E8:FC:A8:07:85:8C	D9160498-7AC7-476B-FD68-884162AA377B
	Random F4:FA:DF:3A:11:B0	A734A7BE-E077-389C-BF92-7D0C0E4EE2C2
	Public 78:9F:70:5D:C8:A5	EE25277C-2761-7681-BC50-9E4E306769CD
	Public D8:E0:E1:5B:D4:F3	A9BBBB89-64BC-1E49-ABC6-E52D7AC90F46
	Public 04:69:F8:9F:52:89	19EAEE38-185E-A4A1-A82A-84ACB9612622
	Random CA:C4:05:34:2C:AF	21DEBD64-E697-0540-6B8E-B5EA9CAFA0F8
	Random FC:B4:D1:1F:30:37	383D3BB6-69B7-660D-D780-655C020FEE9E
	Random DC:55:74:2A:97:19	6241D96F-493F-5D30-70B8-0B21A95E0CB5
	Random DA:FF:BA:97:A4:C3	B455177B-5A29-FC04-A8CA-FE7A3EE3A2D7
	Random CE:DD:73:22:C4:31	F0A8A86C-B4A1-77F7-6FAD-0FA70E59E3B5
	Random CB:D1:62:58:2E:67	F927EF8B-FE28-FF61-BE1A-BB70C6AD1354
	Public B8:BC:5B:1D:7A:83	5026993A-41D5-3B15-BFF9-AD855FF0BCB5
	Public A4:31:35:13:91:7F	65AE315D-4A26-E6D4-9D68-6F8437919BF5
	Public 5C:F9:38:BD:5C:56	10213496-EF2B-1667-69DF-F9F35039CF27
	Random CE:3B:98:3A:69:22	224195E8-AAEE-5760-FED2-F3AE324B9271
	Random DA:59:52:20:13:ED	31A68C2F-29CF-A4D9-7002-8485F9CC4FBF
	Public 68:64:4B:27:BD:D4	3D6A9D27-4D45-DDE2-CCBC-D2321E3AD22A
	Random F3:CD:0A:D6:E5:9F	5235051F-D07D-F275-BAE1-EB7E3C86DE34
	Public 6C:94:F8:ED:42:F3	64F7E6C1-9BE8-8B67-F925-5975BE39965B
	Public 9C:20:7B:8D:A4:A7	7C756DE0-2D8D-1683-B4FB-31DE2328408C
	Public 9C:20:7B:E4:DD:5F	7DB23EA8-0150-737D-BE00-0AD0783154CE
	Public 18:EE:69:07:94:CB	B280F32C-F920-085A-A253-E8FDD4209A88
	Random EA:73:04:0D:3C:2F	B4DBB342-BEF4-977E-02EC-84EB78737858
	Public 68:64:4B:39:77:52	D300CFB7-B889-9A0F-637A-C71D419B03F5
	Random CA:AE:F8:F3:86:0A	7CB0EBC0-DD71-08AE-7C7F-C0985651887B
	Public 70:48:0F:E5:8F:3F	B24CB2A1-BC79-8AB8-87DA-03DFEE02F736
	Public FC:F1:36:20:22:76	00ECDB81-308C-AEAD-FDCB-E1E26035DFE7
	Public 28:39:5E:8A:59:A3	4E5BC195-7E81-6D60-F51A-E5E4405567C9
	Random F7:3C:49:76:3D:7A	3B3003F7-5406-C438-28A6-7B303B319045
	Public D8:E0:E1:3D:C3:99	48342C93-F470-C4BD-0F41-771C4721AA54
	Public 24:4B:03:2D:CE:AF	CD3B22F4-71BD-E381-6495-2D8FC3D57B1C
	Random FD:A0:F6:AE:8B:50	A3E6C910-CBC2-3834-2381-9425EA349461
	Public BC:54:36:C9:51:2F	D7BAB041-93BC-B651-3E24-90B895AF9E67
	Random F3:3B:39:01:4E:B1	C37FCB26-6E37-90B8-0FD6-AB9107F955EA
	Random FE:34:6E:5A:46:D7	C5A49FBA-37A2-4A7E-65CB-4426BF78022F
	Random E4:B4:6B:1F:6A:95	FDF3B399-C44D-2D19-A51D-E76FC723D54F
	Public 68:27:37:29:72:E6	EF9790F9-956D-3065-C479-9719B17F73B7
	Public 78:9F:70:5B:89:2D	32693874-01BB-03BA-9AC1-EFAD3770B292
	Public AC:BC:32:75:4D:1A	1F1C7282-DEB9-E5D7-B209-5177E1B3B61E
	Public D0:03:4B:EC:36:66	3ACC9997-2929-DEA6-E077-89D5878CF4F7
	Public D8:E0:E1:31:E0:E7	8697B29F-899B-17DA-4AB1-E49481102826
	Random EE:8C:41:34:7B:4E	9B3728F8-A458-61C4-8EEA-8AC7EDF1D149
	Public F0:18:98:86:3F:52	C9C3EBC4-632C-C716-BEC9-CEB370144E9D
	Public 50:DE:06:6D:02:F0	E5D0E147-763B-F89E-D82B-8353B027F1C4
	Public 7C:64:56:D9:A5:C2	E2EB37C9-61D5-E7D1-EC98-DA233A9670C9
	Public D0:03:4B:04:A7:1D	1E8741B3-D89B-DB06-B93E-9016BB751217
	Public D0:03:4B:35:34:64	42004563-1678-4B78-98FD-EBCBED0E1DB5
	Public C8:D0:83:CC:D0:0F	51D12884-7045-82A1-D005-07479CAC4DA3
